2025-12-03T08:38:55.183Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.231Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.271Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.323Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.200Z sh[3141]:  active
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576188: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=171
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576195: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=81
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576201: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=10
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576208: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=12
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576214: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=13
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576220: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=14
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576227: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=15
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576233: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=16
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576239: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=17
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576246: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=18
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576252: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=19
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576259: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=127
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576265: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=37
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576271: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=54
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576281: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=56
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576287: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=57
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576294: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=58
2025-12-03T08:38:55.584Z sh[3238]:  1764751135.576300: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=59
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576306: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=60
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576313: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576319: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=80
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576326: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=100
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576333: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=106
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576339: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=107
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576346: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=102
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576352: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576358: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=119
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576365: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=81
2025-12-03T08:38:55.587Z sh[3238]:  1764751135.576371: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=123
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576377: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=124
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576385: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=147
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576391: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=148
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576398: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=150
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576404: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=157
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576411: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576417: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=165
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576423: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=171
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576430: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=174
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576437: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=101
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576443: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576450: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.588Z sh[3238]:  1764751135.576456: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=64
2025-12-03T08:38:55.592Z sh[3238]:  1764751135.576462: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=182
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576469: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=187
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576475: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=188
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576527: nl80211: Use separate P2P group interface (driver advertised support)
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576537: nl80211: Enable multi-channel concurrent (driver advertised support)
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576634: nl80211: DFS offload capability: 1
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576735: nl80211: key_mgmt=0x3f0f enc=0x76f auth=0x7 flags=0xac38729abcfbc4 rrm_flags=0x0 probe_resp_offloads=0x0 max_stations=32 max_remain_on_chan=5000 max_scan_ssids=10
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576748: nl80211: interface wlan0 in phy phy0
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.576872: nl80211: Set mode ifindex 6 iftype 2 (STATION)
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.577022: nl80211: Subscribe to mgmt frames with non-AP handle 0x168cd8
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.577043: nl80211: Register frame type=0xb0 (WLAN_FC_STYPE_AUTH) nl_handle=0x168cd8 match=0300 multicast=0
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.577096: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0104 multicast=0
2025-12-03T08:38:55.593Z sh[3238]:  1764751135.577135: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040a multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577172: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040b multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577213: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040c multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577251: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040d multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577288: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090a multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577326: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090b multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577364: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090c multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577401: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090d multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577441: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0409506f9a09 multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577480: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=7f506f9a09 multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577544: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0801 multicast=0
2025-12-03T08:38:55.594Z sh[3238]:  1764751135.577583: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=12 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577620: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=06 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577658: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a07 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577696: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a11 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577734: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a0b multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577772: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1101 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577810: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1102 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577850: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0505 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577888: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0500 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577926: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1301 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.577963: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1305 multicast=0
2025-12-03T08:38:55.595Z sh[3238]:  1764751135.578002: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=7e506f9a1a multicast=0
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.578339: rfkill: initial event: idx=0 type=1 op=0 soft=0 hard=0
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.578439: netlink: Operstate: ifindex=6 linkmode=1 (userspace-control), operstate=5 (IF_OPER_DORMANT)
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579111: Add interface wlan0 to a new radio phy0
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579680: nl80211: Regulatory information - country=GB (DFS-ETSI)
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579696: nl80211: 2402-2482 @ 40 MHz 20 mBm
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579710: nl80211: 5170-5250 @ 80 MHz 23 mBm (no outdoor)
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579726: nl80211: 5250-5330 @ 80 MHz 23 mBm (no outdoor) (DFS)
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579742: nl80211: 5490-5730 @ 160 MHz 30 mBm (DFS)
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579755: nl80211: 5735-5835 @ 80 MHz 30 mBm (DFS)
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579809: nl80211: Added 802.11b mode based on 802.11g information
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579840: nl80211: Mode IEEE 802.11g: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472 2484[DISABLED]
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579863: nl80211: Mode IEEE 802.11a: 5180[NO_IR] 5200[NO_IR] 5220[NO_IR] 5240[NO_IR] 5260[NO_IR][RADAR] 5280[NO_IR][RADAR] 5300[NO_IR][RADAR] 5320[NO_IR][RADAR] 5500[RADAR] 5520[RADAR] 5540[RADAR] 5560[RADAR] 5580[RADAR] 5600[RADAR]
2025-12-03T08:38:55.596Z sh[3238]:  1764751135.579883: nl80211: Mode IEEE 802.11b: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472 2484[DISABLED]
2025-12-03T08:38:55.668Z sh[3238]:  1764751135.628304: wlan0: Own MAC address: d4:52:ee:59:e3:e8
2025-12-03T08:38:55.668Z sh[3238]:  1764751135.628411: wpa_driver_nl80211_set_key: ifindex=6 (wlan0) alg=0 addr=(nil) key_idx=0 set_tx=0 seq_len=0 key_len=0 key_flag=0x10
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628440: nl80211: DEL_KEY
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628460:    broadcast key
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628618: wpa_driver_nl80211_set_key: ifindex=6 (wlan0) alg=0 addr=(nil) key_idx=1 set_tx=0 seq_len=0 key_len=0 key_flag=0x10
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628639: nl80211: DEL_KEY
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628651:    broadcast key
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628730: wpa_driver_nl80211_set_key: ifindex=6 (wlan0) alg=0 addr=(nil) key_idx=2 set_tx=0 seq_len=0 key_len=0 key_flag=0x10
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628747: nl80211: DEL_KEY
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628757:    broadcast key
2025-12-03T08:38:55.669Z sh[3238]:  1764751135.628814: wpa_driver_nl80211_set_key: ifindex=6 (wlan0) alg=0 addr=(nil) key_idx=3 set_tx=0 seq_len=0 key_len=0 key_flag=0x10
2025-12-03T08:38:55.675Z sh[3238]:  1764751135.628829: nl80211: DEL_KEY
